0037	飛行機	docomo/37.gif	F8C3	63683		E662	#0000ff	
0038	家	docomo/38.gif	F8C4	63684		E663	#ff0000	
0039	ビル	docomo/39.gif	F8C5	63685		E664	#0000ff	
0040	郵便局	docomo/40.gif	F8C6	63686		E665	#ff0000	
0041	病院	docomo/41.gif	F8C7	63687		E666	#ff0000	
0042	銀行	docomo/42.gif	F8C8	63688		E667	#ff00ff	
0043	ＡＴＭ	docomo/43.gif	F8C9	63689		E668	#ff0000	
0044	ホテル	docomo/44.gif	F8CA	63690		E669	#008000	
0045	コンビニ	docomo/45.gif	F8CB	63691		E66A	#0000ff	
0046	ガソリンスタンド	docomo/46.gif	F8CC	63692		E66B	#ff00ff	
0047	駐車場	docomo/47.gif	F8CD	63693		E66C	#0000ff	
0048	信号	docomo/48.gif	F8CE	63694		E66D	#000000	
0049	トイレ	docomo/49.gif	F8CF	63695		E66E	#000000	
0050	レストラン	docomo/50.gif	F8D0	63696		E66F	#000000	
0051	喫茶店	docomo/51.gif	F8D1	63697		E670	#008000	
0052	バー	docomo/52.gif	F8D2	63698		E671	#ff00ff	
0053	ビール	docomo/53.gif	F8D3	63699		E672	#ffa500	
0054	ファーストフード	docomo/54.gif	F8D4	63700		E673	#ffa500	
0055	ブティック	docomo/55.gif	F8D5	63701		E674	#ff0000	
0056	美容院	docomo/56.gif	F8D6	63702		E675	#0000ff	
0057	カラオケ	docomo/57.gif	F8D7	63703		E676	#000000	
0058	映画	docomo/58.gif	F8D8	63704		E677	#000000	
0059	右斜め上	docomo/59.gif	F8D9	63705		E678	#000000	
0060	遊園地	docomo/60.gif	F8DA	63706		E679	#ffa500	
0061	音楽	docomo/61.gif	F8DB	63707		E67A	#0000ff	
0062	アート	docomo/62.gif	F8DC	63708		E67B	#ff00ff	
0063	演劇	docomo/63.gif	F8DD	63709		E67C	#000000	
0064	イベント	docomo/64.gif	F8DE	63710		E67D	#ff0000	
0065	チケット	docomo/65.gif	F8DF	63711		E67E	#ffa500	
0066	喫煙	docomo/66.gif	F8E0	63712		E67F	#000000	
0067	禁煙	docomo/67.gif	F8E1	63713		E680	#ff0000	
0068	カメラ	docomo/68.gif	F8E2	63714		E681	#000000	
0069	カバン	docomo/69.gif	F8E3	63715		E682	#ff0000	
0070	本	docomo/70.gif	F8E4	63716		E683	#ffa500	
0071	リボン	docomo/71.gif	F8E5	63717		E684	#ff0000	
0072	プレゼント	docomo/72.gif	F8E6	63718		E685	#ff0000	
0073	バースデー	docomo/73.gif	F8E7	63719		E686	#ff0000	
0074	電話	docomo/74.gif	F8E8	63720		E687	#000000	
0075	携帯電話	docomo/75.gif	F8E9	63721		E688	#000000	
0076	メモ	docomo/76.gif	F8EA	63722		E689	#ffa500	
0077	ＴＶ	docomo/77.gif	F8EB	63723		E68A	#0000ff	
0078	ゲーム	docomo/78.gif	F8EC	63724		E68B	#000000	
0079	ＣＤ	docomo/79.gif	F8ED	63725		E68C	#0000ff	
0080	ハート	docomo/80.gif	F8EE	63726		E68D	#ff0000	
0081	スペード	docomo/81.gif	F8EF	63727		E68E	#000000	
0082	ダイヤ	docomo/82.gif	F8F0	63728		E68F	#ff0000	
0083	クラブ	docomo/83.gif	F8F1	63729		E690	#000000	
0084	目	docomo/84.gif	F8F2	63730		E691	#000000	
0085	耳	docomo/85.gif	F8F3	63731		E692	#ffa500	
0086	手（グー）	docomo/86.gif	F8F4	63732		E693	#ffa500	
0087	手（チョキ）	docomo/87.gif	F8F5	63733		E694	#ffa500	
0088	手（パー）	docomo/88.gif	F8F6	63734		E695	#ffa500	
0089	右斜め下	docomo/89.gif	F8F7	63735		E696	#000000	
0090	左斜め上	docomo/90.gif	F8F8	63736		E697	#000000	
0091	足	docomo/91.gif	F8F9	63737		E698	#ffa500	
0092	くつ	docomo/92.gif	F8FA	63738		E699	#000000	
0093	眼鏡	docomo/93.gif	F8FB	63739		E69A	#000000	
0094	車椅子	docomo/94.gif	F8FC	63740		E69B	#0000ff	
0095	新月	docomo/95.gif	F940	63808		E69C	#000000	
0096	やや欠け月	docomo/96.gif	F941	63809		E69D	#000000	
0097	半月	docomo/97.gif	F942	63810		E69E	#000000	
0098	三日月	docomo/98.gif	F943	63811		E69F	#000000	
0099	満月	docomo/99.gif	F944	63812		E6A0	#000000	
0100	犬	docomo/100.gif	F945	63813		E6A1	#ffa500	
0101	猫	docomo/101.gif	F946	63814		E6A2	#ffa500	
0102	リゾート	docomo/102.gif	F947	63815		E6A3	#0000ff	
0103	クリスマス	docomo/103.gif	F948	63816		E6A4	#008000	
0104	左斜め下	docomo/104.gif	F949	63817		E6A5	#000000	
0105	phone to	docomo/105.gif	F972	63858		E6CE	#000000	
0106	mail to	docomo/106.gif	F973	63859		E6CF	#000000	
0107	fax to	docomo/107.gif	F974	63860		E6D0	#000000	
0108	iモード	docomo/108.gif	F975	63861		E6D1	#ffa500	
0109	iモード（枠付き）	docomo/109.gif	F976	63862		E6D2	#ffa500	
0110	メール	docomo/110.gif	F977	63863		E6D3	#000000	
0111	ドコモ提供	docomo/111.gif	F978	63864		E6D4	#000000	
0112	ドコモポイント	docomo/112.gif	F979	63865		E6D5	#000000	
0113	有料	docomo/113.gif	F97A	63866		E6D6	#ff0000	
0114	無料	docomo/114.gif	F97B	63867		E6D7	#ff0000	
0115	ID	docomo/115.gif	F97C	63868		E6D8	#ff0000	
0116	パスワード	docomo/116.gif	F97D	63869		E6D9	#ff0000	
0117	次項有	docomo/117.gif	F97E	63870		E6DA	#ff0000	
0118	クリア	docomo/118.gif	F980	63872		E6DB	#ff0000	
0119	サーチ（調べる）	docomo/119.gif	F981	63873		E6DC	#0000ff	
0120	ＮＥＷ	docomo/120.gif	F982	63874		E6DD	#ff0000	
0121	位置情報	docomo/121.gif	F983	63875		E6DE	#ff0000	
0122	フリーダイヤル	docomo/122.gif	F984	63876		E6DF	#000000	
0123	シャープダイヤル	docomo/123.gif	F985	63877		E6E0	#000000	
0124	モバＱ	docomo/124.gif	F986	63878		E6E1	#000000	
0125	1	docomo/125.gif	F987	63879		E6E2	#000000	
0126	2	docomo/126.gif	F988	63880		E6E3	#000000	
0127	3	docomo/127.gif	F989	63881		E6E4	#000000	
0128	4	docomo/128.gif	F98A	63882		E6E5	#000000	
0129	5	docomo/129.gif	F98B	63883		E6E6	#000000	
0130	6	docomo/130.gif	F98C	63884		E6E7	#000000	
0131	7	docomo/131.gif	F98D	63885		E6E8	#000000	
0132	8	docomo/132.gif	F98E	63886		E6E9	#000000	
0133	9	docomo/133.gif	F98F	63887		E6EA	#000000	
0134	0	docomo/134.gif	F990	63888		E6EB	#000000	
0135	決定	docomo/135.gif	F9B0	63920		E70B	#ff0000	
0136	黒ハート	docomo/136.gif	F991	63889		E6EC	#ff0000	
0137	揺れるハート	docomo/137.gif	F992	63890		E6ED	#ff0000	
0138	失恋	docomo/138.gif	F993	63891		E6EE	#ff0000	
0139	ハートたち（複数ハート）	docomo/139.gif	F994	63892		E6EF	#ff0000	
0140	わーい（嬉しい顔）	docomo/140.gif	F995	63893		E6F0	#ff00ff	
0141	ちっ（怒った顔）	docomo/141.gif	F996	63894		E6F1	#ff0000	
0142	がく〜（落胆した顔）	docomo/142.gif	F997	63895		E6F2	#0000ff	
0143	もうやだ〜（悲しい顔）	docomo/143.gif	F998	63896		E6F3	#008000	
0144	ふらふら	docomo/144.gif	F999	63897		E6F4	#0000ff	
0145	グッド（上向き矢印）	docomo/145.gif	F99A	63898		E6F5	#ff0000	
0146	るんるん	docomo/146.gif	F99B	63899		E6F6	#ff0000	
0147	いい気分（温泉）	docomo/147.gif	F99C	63900		E6F7	#ff0000	
0148	かわいい	docomo/148.gif	F99D	63901		E6F8	#ff00ff	
0149	キスマーク	docomo/149.gif	F99E	63902		E6F9	#ff0000	
0150	ぴかぴか（新しい）	docomo/150.gif	F99F	63903		E6FA	#ffa500	
0151	ひらめき	docomo/151.gif	F9A0	63904		E6FB	#ffa500	
0152	むかっ（怒り）	docomo/152.gif	F9A1	63905		E6FC	#000000	
